"","year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1",1978,7.14748835688297e-05,0.0204699671307202,2.25906965894337,1.58013914108194,2.42299050633939,2.28992453915084,0.976707889371297,0.410052630447069,0.123516434809291,0.0352617954505445,0.0503747597281028,0.00541144158161169,0.0034470993314714,NA,NA,NA
"2",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1981,0.0159688453271744,0.0464733794013001,0.396161021688708,1.26890465673338,2.02651298974707,3.93943886427588,2.29856534167271,1.01782454736867,0.377814393987881,0.161110095509107,0.0507007716793876,0.0234883542909975,0.0137029668966562,0.0105488086131492,0.00936517998184096,NA
"4",1982,0.000182279021458907,0.0614558784744215,0.272260179906613,0.588953642480118,0.830742648085489,0.829516946753589,0.455486709806396,0.177763608775653,0.0676766929784066,0.0229462850402744,0.0232958301849077,NA,NA,NA,NA,NA
"5",1983,0.0309137347732763,0.135292741980397,0.712434660213326,0.651439411309591,0.818141460875059,0.433739792293905,0.296540980121561,0.120739445051357,0.0792619522264325,0.037323065669012,0.0120770086336772,NA,NA,NA,NA,NA
"6",1984,0.00366512048017953,0.144740216933141,0.951525222253839,1.97739841983753,3.16460283317733,2.09588285242427,1.03576705564635,0.447866364659577,0.215933046241545,0.0986892353999855,0.0605007166397777,0.0177073761626164,0.0105215181303884,NA,NA,NA
"7",1985,0.000260071575809906,0.0560248687771255,2.11255364135271,5.76395023573142,6.51920760053024,1.71322589586884,0.881003257221145,0.486614784591518,0.164329149934204,0.0966242250564957,0.102659087337236,0.0265102577216393,0.0175015141640764,0.0119022814526839,0.00761148331289191,0.00442183659030369
"8",1986,0.0631290514546863,0.255181928609208,2.0487427265957,3.20379267678299,5.5702655317162,3.39950902321112,1.10407070972395,0.426362290841808,0.282925801589598,0.120763415655083,0.0540015292807457,0.041908884715383,0.0304751402284844,0.0136217863494556,NA,NA
"9",1987,0.002395180716762,0.082867942485061,0.661920619759825,2.24940265716988,2.50964358611993,1.60343548305528,0.945843487773177,0.410131107820118,0.138962802276665,0.0695828214487965,0.021345032861302,0.0177635431975885,0.0221030095325958,0.0101784785876972,0.000713705205303528,NA
"10",1988,0.0325282513730227,0.315997866532315,1.58492782702576,2.70458674669599,3.1829683166414,2.21925630743462,1.09845803478265,0.678660573968945,0.108547293716946,0.00742040106887624,0.0112404118544362,0.00906322272346515,0.00160587443906946,NA,NA,NA
"11",1989,0.243909920634705,1.25506974465748,1.55871957588959,2.7069276651198,1.67509017728447,1.33522327788605,0.768657629519514,0.191849517627087,0.0328085916119398,0.015870665642989,0.0148412154134655,0.00877726221387981,0.00371018476181867,0.000615376160463376,NA,NA
